continental population groups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024464831804281347,0,0.0006053268765133171,0.0003738317757009346,0.0002932551319648094,0.0002391200382592061,0,0,0,0,0,0.00027605244996549346,0,0.0006793478260869565,0,0,0,0,0,9.340992947550326e-05,0,0,0,2.8368794326241152e-05,0.00010492369886898426,3.1369596586987904e-05,0,0.00010153846153846153,0,0,0,0,0,0,0,4.830451164138732e-05,8.529512111907198e-05,9.21064750851985e-05,0,0,0,0,0,0.00011246063877642825,0.00010826611811833489,0.00015566226210903873,0.000110136569345989,0.00016772520864173892,6.814774430966334e-05,4.357298474945532e-05,3.372681281618886e-05,0,0.00013448306926567796,0,0,2.3041474654377873e-05,4.7342880814297545e-05,0,5.499642523235991e-05,0,0,1.9627470607862772e-05,2.5473812920317912e-05,0,0,5.138768151627918e-05,1.4942322634630323e-05,0,2.790645755427807e-05,0,0
demography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009057971014492753,0.0003952638605860445,0,0,0,0,0,0,0,0,0.0001634582911178656,0,0,0,0,5.193884942463813e-05,0,0,0,3.143171460003144e-05,5.9801459155603396e-05,0.00018983162759986794,2.3102157741533055e-05,0,0,2.5724134382878014e-05,6.31195546449784e-05,3.411572052401747e-05,2.5631167499679602e-05,2.5629196780972886e-05,4.819741661846926e-05,0.0001072654767236048,9.680173176011463e-05,0.00022879766142281223,0.00010194075566871736,0.00013875859259618995,0.00010311727029993285,0.00023158605106955306,0.00011728216346050741,0.00011652647555284475,6.689602446483183e-05,0.0001571554934128034,0,0.00021578482121149893,0.00012631047113805736,0.00013254289570079043,6.311660063699218e-05,0.0001400856154986005,0,0.00013771297651468832,0.0002524457742976946,0,0.00018743588151626126,7.151401674728247e-05,0.00018593474008063215,2.4101031524149243e-05,0.0001464767343127522,0
developing countries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022264276967605477,0,0,0,0,0,0,0,0,0,0,0,9.738046547862498e-05,0,0,0,0,0,0,0,0.00011580775911986103,3.0769230769230774e-05,0,4.139072847682118e-05,0.0002793553810509913,7.8064012490242e-05,0,0,7.664009809932556e-05,0.0002356420089636372,6.82360968952576e-05,0.0002838487640919252,0.00011630874109651697,0.00011744376151155815,8.610158037013934e-05,9.347837558706681e-05,0.00039400958943712684,0.0005622500321261404,0.0007957021085099903,0.00028361284618236786,0.001344271951511976,0.0010552841267924466,0.0006593267393255275,0.0007942884595927752,0.0007926606157937887,0.0008150812533097376,0.0003353669741629608,0.0004856325449870421,0.00020562170117644483,0.0006843086867115413,0.0005365687262052667,5.73932204258372e-05,0.00030030309934616153,0.00020767013096464914,0.0002630699672496507,9.467923251083575e-05,0.0002457164943528961,0.00030003455068869307,0.00020643701829308082,0.0002324343463891751,7.95382205638616e-05,0.0001483458696040041,0.00014055326249363349,0.00010127673328664547,0.00017081312262035153
emigration and immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005738880918220947,0,0.0004195510803440319,0,0,0,0,0,0,0,0,0,0.0001087311079699902,0.00014481712189336182,0.001140781594753852,0.0003439590712317985,9.178791133678351e-05,0.00019250526349917836,0.0002127659574468085,0.00024963464069143837,0.00010776924652522739,0,0.00011076923076923075,8.275970512717064e-05,0,0.00013515339910798757,0,0,0,0,0,0,0,0,0,0,0,7.688759034291866e-05,4.400633691251541e-05,9.38306357025569e-05,9.913458189320258e-05,0.00012939121433654653,0.000286233759078104,0,3.921568627450979e-05,0.00012639555087660915,0.00013998740113389796,0.000295441533479811,0.00015290519877675843,0.0002361227141928896,0,0.00020334846349759358,0.0003030817038503893,9.374189389444923e-05,0.00026169113648722136,0.00012023960647413519,0.0001351535700782646,0.0002449061312339336,0,2.9806259314456043e-05,5.7409675443968164e-05,4.038176081186834e-05,0,0,4.652461151949381e-05,0
transients and migrants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002608582235554976,0,0,0,0,0,0.0003450655624568668,0,0,0,0.00039308176100628933,0,0,0,0.00016813787305590587,0,4.296455424274975e-05,9.824147755182238e-05,9.45626477541371e-05,0,5.5500055500055514e-05,0,0.00014545454545454546,0,0,7.883948281299275e-05,0,0,4.8928466581857334e-05,8.94134477825465e-05,0,3.7908942719587564e-05,0,9.309686729041568e-05,0,0,0,0.00024624130240542575,0,0,0.00016879672052085842,0.0003148519548855966,0.00010911074740861977,0,0,2.7199042593700697e-05,0,7.284382284382286e-05,0,7.348618459729572e-05,2.371916508538899e-05,0.00012350793212433643,0.0003290341228702059,0,6.797172376291466e-05,0.00014174887899185947,5.2933932879773114e-05,0.00013122873322588016,0.00011234671338258815,2.7322404371584703e-05,0.00016576976605027098,0.00011063741326899219,0.000122999779936496,0.0001678263350139222,7.104581853212116e-05,0
travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040192926045016077,0,0,0,0,0,0,0,0,0,0,0.00024169819251786468,5.772005772005773e-05,0,0,0,0,8.037939072421832e-05,0.0001709012855509671,4.705882352941177e-05,0,0,8.60067085232648e-05,0,4.583791712504583e-05,0,7.664009809932556e-05,0,0,0,0,5.2312199204854574e-05,0.0001819505094614265,0.00013569441617477442,0,0.0003169345274608433,0,0.0001295001295001295,0.0002803476310625175,4.30700318718236e-05,0,6.033182503770739e-05,5.8149677269291154e-05,0.0001866498681785306,0,7.963812436289501e-05,0,0.0005251536098310291,0.00010506345832883062,0.0002978554408260524,0.00016835016835016833,0.00031998203898693294,5.0339793606846234e-05,0,0.00010055452468546543,0.0001210198388201283,0.00010148321623731464,2.2680365607493593e-05,0.00012920581102399288,1.6433313613357007e-05,8.275962676811034e-05,0,0.00018382493738463069
urban population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001997474890233102,6.0977468825269075e-05,0,0,8.016674683341349e-05,9.288747346072187e-05,0.00046056435961699125,7.862312984261814e-05,0.00017344686218858407,0,0.00013661202185792347,0,0.00021042919462272477,0.00014817085632536276,0.00022016490729374395,9.477235679896889e-05,0.000241124818721815,0.0001924607544268388,0.00010247036667774452,6.823144104803493e-05,0.0003419014664689405,0.0001441642318929725,0.00010964912280701755,0.00021965507422778792,0.00022144522144522147,0.00028504067402301207,0.00030311820048991515,0.0005961769532412439,0.0005536694435905173,0.00014581493080649912,0.0003244455473754837,0.00018002067366242746,0.00016015070656193157,0.0003790083810054761,0.00024248690377722635,0.00024029686344345083,0.00028709769005003387,0.00013226146989408897,0.0002656725030130737,0.00034554664265662314,0.00042440034654567526,0.0002585108060753011,0.000516271564365022,0.0002586385196087095,0.0002968406411505398,0.0002789799638063561,0.00023410446262379206,0.0003348625648731801,0.00017567142433552027,3.650967506389194e-05
population surveillance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65800865800866e-05,0,0,7.736943907156673e-05,5.496921723834653e-05,0,6.929700401037983e-05,3.076923076923076e-05,0,0,0,5.3225463061528635e-05,5.500550055005502e-05,0,0.00021639557110397808,0.00017251611300495473,5.387060281204548e-05,0,0,0.0001640700793243166,0,0,0.0005319182419629986,0.00013977250819356083,0.00020163237708876653,0.0003494545706198501,0.00016691750402077524,0.0008771465435982827,0.0010605795992458958,0.0003134818276686789,0.0003045210796218469,0.00035294807338307296,0.0006042196882877942,0.0005793801881860581,0.0007480419807783355,0.0012176660866870565,0.0009029300872330869,0.0010738207507538522,0.0006700054058689491,0.0012939704027758764,0.0005719367315561507,0.0005304789618515108,0.00046602399003766083,0.0007657463487348073,0.0004835715999059319,0.0003967862033978361,0.0004580398487015824,0.0006100752855532391,0.0004447282549768809,0.0002724012640771434,0
rural population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003398470688190314,0.00035842293906810036,0,0.00022264276967605477,0.00018355359765051394,0,0.0004512635379061372,0,0,0,0,0,0,0,0,0,0,0,0.00023272466881489438,0,5.00625782227785e-05,0,6.559097468188379e-05,5.307855626326965e-05,0.0002690734755440638,5.831737857881648e-05,0.00011825922421948913,0.00016424892252706822,0.00013661202185792347,0,5.665401393688744e-05,0.00013113972341440155,6.25117209476777e-05,0.0002609316836543039,4.82462488541516e-05,0.00011254308792509132,0.00020025393903758812,6.823144104803493e-05,0.00020825323593489682,0.0002530883182121072,0.00010171072477574024,7.894404446128586e-05,0,0.00017089372640255736,0.0002337704126311123,0.0002524630311251461,9.673202614379084e-05,0.00044423715613800074,0.0001491502128444804,0.00038976898794712566,0.00021516529881343693,0.00021418255976572056,0.00032718811746512276,0.00013316294790305096,0.0001828815871544542,0,0.00017481115491711506,3.1735956839098704e-05,0.00012411342304703156,0.0002838983053434651,0.00022832875204988718,0.00014232881133707635,0.00010534310259731514,0.00014362894793084108,0.0002868318738066997,0.0001911649101011737,0.0001155392849823001,0
